Rank,Symbol,Alpha,Beta,AlphaDaily
1,GFLLIMITED,1.156104,1.2777,0.00458772
2,VOLTAS,1.039027,0.9973,0.00412312
3,BEML,1.013483,1.394,0.00402176
4,HCC,0.945217,1.1993,0.00375086
5,GAMMONIND,0.75853,0.9695,0.00301004
6,SIEMENS,0.737797,0.8438,0.00292777
7,GODFRYPHLP,0.723902,0.6025,0.00287263
8,LMW,0.713549,0.5014,0.00283154
9,GODREJCP,0.703213,0.4011,0.00279053
10,NCC,0.701541,1.2274,0.00278389
11,DCHL,0.690308,1.3602,0.00273932
12,PANACEABIO,0.660525,0.7064,0.00262113
13,PIDILITIND,0.643061,0.4828,0.00255183
14,THERMAX,0.636288,0.4622,0.00252495
15,ABAN,0.602836,0.9555,0.00239221
16,UNITDSPR,0.585646,1.6216,0.00232399
17,FEL,0.518974,1.0592,0.00205942
18,EIHOTEL,0.50927,0.7034,0.00202091
19,SHREECEM,0.506356,0.9342,0.00200935
20,EIDPARRY,0.494251,1.0375,0.00196131
