Rank,Symbol,Beta,AnnualVolatility,Observations
1,SJVN,2.5012,0.641291,252
2,RECLTD,2.3851,0.524751,252
3,SAIL,2.3765,0.490116,252
4,PFC,2.3032,0.515387,252
5,NIACL,2.2585,0.623818,252
6,IDEA,2.1958,0.614532,252
7,IRFC,2.1704,0.613973,252
8,BHEL,2.1701,0.504214,252
9,RVNL,2.0841,0.652905,252
10,MAZDOCK,1.9682,0.611883,252
11,IDBI,1.9668,0.460986,252
12,NHPC,1.9425,0.463756,252
13,GMRAIRPORT,1.8855,0.443002,252
14,GAIL,1.8719,0.394787,252
15,BEL,1.8509,0.376344,252
16,ADANIPORTS,1.8462,0.409381,252
17,MAHABANK,1.8441,0.434756,252
18,ADANIGREEN,1.8182,0.509312,252
19,ZEEL,1.8149,0.569399,252
20,JSWENERGY,1.8057,0.469707,252
