Rank,Symbol,MomentumScore,Return6M,Return12M,AnnualVolatility,Ratio6M,Ratio12M,Z_6M,Z_12M
1,MPHASIS,3.0343,1.930217,2.617229,0.640209,3.014977,4.088082,2.3404,3.7283
2,CENTRALBK,2.8023,2.079734,1.861111,0.595865,3.49028,3.123379,2.9802,2.6245
3,AUROPHARMA,2.6517,2.544351,1.979043,0.713785,3.564589,2.772603,3.0802,2.2232
4,TORNTPOWER,2.5466,1.930255,2.182863,0.656644,2.939576,3.324272,2.2389,2.8544
5,JINDALSTEL,2.5037,1.747953,2.669804,0.704609,2.480742,3.789059,1.6212,3.3862
6,GTL,2.1258,0.300598,1.128096,0.245035,1.226756,4.603825,-0.0668,4.3184
7,PGHH,2.0263,0.865767,1.027224,0.34833,2.485477,2.948994,1.6276,2.425
8,OFSS,2.0221,1.472158,1.967329,0.630648,2.334357,3.119534,1.4242,2.6201
9,SHREECEM,1.9759,0.784622,1.973422,0.500688,1.567087,3.941421,0.3913,3.5605
10,LICHSGFIN,1.9372,1.866387,1.96759,0.728182,2.563077,2.702058,1.732,2.1425
11,VEDL,1.9208,2.17124,2.480723,0.885098,2.453106,2.802765,1.584,2.2577
12,GODREJCP,1.8913,0.948339,1.316806,0.431511,2.197716,3.051612,1.2402,2.5424
13,MRF,1.8474,1.733484,1.068748,0.558976,3.101178,1.911974,2.4564,1.2385
14,INDUSINDBK,1.8426,2.121923,1.399099,0.70164,3.024233,1.994041,2.3528,1.3324
15,STLTECH,1.8274,2.583721,1.865644,0.887762,2.910376,2.101514,2.1995,1.4553
16,JINDALSAW,1.7054,2.745152,0.430688,0.689049,3.983973,0.625047,3.6447,-0.234
17,BAJAJ-AUTO,1.6742,1.24248,1.519802,0.56708,2.191014,2.68005,1.2312,2.1173
18,PATNI,1.5346,1.83073,1.285714,0.686035,2.668566,1.874123,1.874,1.1952
19,YESBANK,1.4897,2.337838,1.099448,0.78008,2.996922,1.409404,2.316,0.6634
20,ALBK,1.4735,1.358349,1.019277,0.533409,2.546545,1.910875,1.7098,1.2372
