Rank,Symbol,QualityScore,Sharpe,MaxDrawdown,RetStability
1,ADANIENT,0.950596,0.7071,-0.0245,0.00632
2,SUNPHARMA,0.935323,1.331,-0.2527,0.080721
3,CIPLA,0.917565,0.8068,-0.2122,0.07731
4,ASIANPAINT,0.910826,0.8488,-0.2288,0.086305
5,HEROMOTOCO,0.898234,0.8502,-0.2606,0.094346
6,HINDUNILVR,0.886596,0.5805,-0.2245,0.083602
7,JUBLPHARMA,0.882238,0.5998,-0.2086,0.091591
8,LUPIN,0.862891,0.7162,-0.2631,0.113248
9,GLENMARK,0.858623,1.5054,-0.3002,0.136558
10,PGHH,0.858399,0.2745,-0.1801,0.065386
11,ITC,0.849026,0.4692,-0.3063,0.091363
12,APOLLOHOSP,0.842522,0.2394,-0.2869,0.06082
13,ZYDUSLIFE,0.839944,0.3819,-0.3037,0.08774
14,CAIRN,0.836651,0.993,-0.3406,0.132684
15,RANBAXY,0.836146,0.4559,-0.3151,0.098894
16,STERLINBIO,0.830679,0.4174,-0.3171,0.098003
17,GLAXO,0.827645,0.2912,-0.2949,0.086813
18,SHRIRAMFIN,0.823121,1.5631,-0.3303,0.1539
19,EXIDEIND,0.822053,0.3984,-0.3358,0.097498
20,GSKCONS,0.819004,0.2743,-0.2686,0.097093
