Rank,Symbol,Momentum,Volatility,Score
1,HEXAWARE,0.598015,0.023188,25.79
2,TCS,0.349287,0.018765,18.6137
3,HCLTECH,0.375673,0.021185,17.7331
4,GESHIP,0.306002,0.0194,15.7734
5,TECHM,0.336043,0.021904,15.3415
6,JUBLFOOD,0.25417,0.018651,13.6279
7,INFY,0.228914,0.019363,11.8224
8,OFSS,0.143004,0.012253,11.6706
9,HEROMOTOCO,0.250641,0.02152,11.6466
10,BIOCON,0.20819,0.020111,10.352
11,COROMANDEL,0.242031,0.023693,10.2151
12,SUNPHARMA,0.213808,0.022202,9.63
13,BRITANNIA,0.158684,0.017603,9.0147
14,CIPLA,0.143948,0.016126,8.9264
15,UBL,0.352755,0.040219,8.7707
16,IDEA,0.217038,0.028795,7.5374
17,DRREDDY,0.13198,0.018351,7.1919
18,NMDC,0.18153,0.025817,7.0313
19,VEDL,0.340242,0.0522,6.518
20,GUJENERGY,0.248485,0.038308,6.4865
