Rank,Symbol,Momentum,Volatility,Score
1,ADANIENSOL,0.907423,0.031594,28.7218
2,ATGL,0.613098,0.026654,23.0025
3,MINDTREE,0.620695,0.028361,21.8856
4,JSWENERGY,0.621673,0.028998,21.4389
5,RELIANCE,0.25824,0.013335,19.3659
6,TATAELXSI,0.423182,0.023681,17.87
7,IOC,0.27824,0.015804,17.6053
8,TATAPOWER,0.707036,0.041897,16.8758
9,TMPV,0.668724,0.040031,16.7051
10,IRCTC,0.751231,0.04543,16.5359
11,ADANIGREEN,0.323371,0.019982,16.1833
12,BAJFINANCE,0.249595,0.015577,16.0234
13,BAJAJFINSV,0.329259,0.020551,16.0218
14,TITAN,0.340596,0.021443,15.8841
15,HINDPETRO,0.308634,0.020149,15.3178
16,ONGC,0.367436,0.024003,15.3078
17,GODREJPROP,0.517983,0.034782,14.8921
18,GMRAIRPORT,0.42576,0.02927,14.546
19,INDHOTEL,0.434128,0.030247,14.3527
20,UNITDSPR,0.308489,0.021983,14.0328
