date_time,open,high,low,close,volume
2005-04-01,1000.0,1000.0,1000.0,1000.0,0
2005-04-04,1003.4,1003.4,1003.4,1003.4,0
2005-04-05,997.05,997.05,997.05,997.05,0
2005-04-06,1005.2,1005.2,1005.2,1005.2,0
2005-04-07,1002.3,1002.3,1002.3,1002.3,0
2005-04-08,994.84,994.84,994.84,994.84,0
2005-04-11,984.0,984.0,984.0,984.0,0
2005-04-12,991.34,991.34,991.34,991.34,0
2005-04-13,992.43,992.43,992.43,992.43,0
2005-04-15,966.04,966.04,966.04,966.04,0
2005-04-18,956.29,956.29,956.29,956.29,0
2005-04-19,951.76,951.76,951.76,951.76,0
2005-04-20,957.82,957.82,957.82,957.82,0
2005-04-21,970.97,970.97,970.97,970.97,0
2005-04-22,980.78,980.78,980.78,980.78,0
2005-04-25,984.3,984.3,984.3,984.3,0
2005-04-26,981.47,981.47,981.47,981.47,0
2005-04-27,971.66,971.66,971.66,971.66,0
2005-04-28,968.11,968.11,968.11,968.11,0
2005-04-29,953.0,953.0,953.0,953.0,0
2005-05-02,953.08,953.08,953.08,953.08,0
2005-05-03,954.88,954.88,954.88,954.88,0
2005-05-04,964.87,964.87,964.87,964.87,0
2005-05-05,975.34,975.34,975.34,975.34,0
2005-05-06,980.71,980.71,980.71,980.71,0
2005-05-09,992.71,992.71,992.71,992.71,0
2005-05-10,991.31,991.31,991.31,991.31,0
2005-05-11,990.75,990.75,990.75,990.75,0
2005-05-12,997.83,997.83,997.83,997.83,0
2005-05-13,999.66,999.66,999.66,999.66,0
2005-05-16,1009.7,1009.7,1009.7,1009.7,0
2005-05-17,1000.0,1000.0,1000.0,1000.0,0
2005-05-18,1000.6,1000.6,1000.6,1000.6,0
2005-05-19,1005.9,1005.9,1005.9,1005.9,0
2005-05-20,1004.8,1004.8,1004.8,1004.8,0
2005-05-23,1012.6,1012.6,1012.6,1012.6,0
2005-05-24,1017.9,1017.9,1017.9,1017.9,0
2005-05-25,1022.7,1022.7,1022.7,1022.7,0
2005-05-26,1027.09,1027.09,1027.09,1027.09,0
2005-05-27,1026.9,1026.9,1026.9,1026.9,0
2005-05-30,1022.3,1022.3,1022.3,1022.3,0
2005-05-31,1030.4,1030.4,1030.4,1030.4,0
2005-06-01,1033.9,1033.9,1033.9,1033.9,0
2005-06-02,1026.09,1026.09,1026.09,1026.09,0
2005-06-03,1036.59,1036.59,1036.59,1036.59,0
2005-06-04,1038.9,1038.9,1038.9,1038.9,0
2005-06-06,1041.0,1041.0,1041.0,1041.0,0
2005-06-07,1044.9,1044.9,1044.9,1044.9,0
2005-06-08,1050.2,1050.2,1050.2,1050.2,0
2005-06-09,1050.4,1050.4,1050.4,1050.4,0
2005-06-10,1045.8,1045.8,1045.8,1045.8,0
2005-06-13,1048.8,1048.8,1048.8,1048.8,0
2005-06-14,1051.9,1051.9,1051.9,1051.9,0
2005-06-15,1057.8,1057.8,1057.8,1057.8,0
2005-06-16,1050.0,1050.0,1050.0,1050.0,0
2005-06-17,1040.7,1040.7,1040.7,1040.7,0
2005-06-20,1041.9,1041.9,1041.9,1041.9,0
2005-06-21,1048.8,1048.8,1048.8,1048.8,0
2005-06-22,1051.0,1051.0,1051.0,1051.0,0
2005-06-23,1053.4,1053.4,1053.4,1053.4,0
2005-06-24,1060.5,1060.5,1060.5,1060.5,0
2005-06-27,1061.3,1061.3,1061.3,1061.3,0
2005-06-28,1045.4,1045.4,1045.4,1045.4,0
2005-06-29,1054.5,1054.5,1054.5,1054.5,0
2005-06-30,1058.09,1058.09,1058.09,1058.09,0
2005-07-01,1065.0,1065.0,1065.0,1065.0,0
2005-07-04,1079.3,1079.3,1079.3,1079.3,0
